"STATION","species1","species2","overlap"
"VINS","FISP","BHCO",0.0854102486892248
"VINS","FISP","OROR",0.00393272886206357
"VINS","FISP","AMGO",0.0434951301769802
"VINS","NOCA","INBU",0.245484405747405
"VINS","NOCA","PABU",0.192379912670457
"VINS","NOCA","DICK",0.0104174779920929
"VINS","NOCA","RWBL",0.117157762493803
"VINS","NOCA","BHCO",0.578018967401185
"VINS","NOCA","OROR",0.0813750818574022
"VINS","NOCA","AMGO",0.430990457793784
"VINS","INBU","PABU",0.696086036401089
"VINS","INBU","DICK",0.00303530771689374
"VINS","INBU","RWBL",0.47765735033159
"VINS","INBU","BHCO",0.159508838843469
"VINS","INBU","OROR",0.408594664131218
"VINS","INBU","AMGO",0.0736307734836825
"VINS","PABU","DICK",6.39143773664094e-06
"VINS","PABU","RWBL",0.764199019237319
"VINS","PABU","BHCO",0.0962836536726455
"VINS","PABU","OROR",0.644523838993493
"VINS","PABU","AMGO",0.0217681534340809
"VINS","DICK","RWBL",2.29268993298881e-08
"VINS","DICK","BHCO",0.16282834205175
"VINS","DICK","OROR",0.000135785205450537
"VINS","DICK","AMGO",0.061431259115968
"VINS","RWBL","BHCO",0.0472889140492919
"VINS","RWBL","OROR",0.732389950736189
"VINS","RWBL","AMGO",0.00998618304214117
"VINS","BHCO","OROR",0.0534270955211727
"VINS","BHCO","AMGO",0.564457803619698
"VINS","OROR","AMGO",0.0373003635743233
"PATT","RNSA","DOWO",1.72409142339874e-16
"PATT","RNSA","WIFL",0.432012606240261
"PATT","RNSA","DUFL",0.298702731957364
"PATT","RNSA","WAVI",1.19552382759791e-07
"PATT","RNSA","BCCH",0.0836196092553773
"PATT","RNSA","HOWR",0.132881754124217
"PATT","RNSA","VEER",0.389501441400818
"PATT","RNSA","AMRO",0.0172589441002007
"PATT","RNSA","CEDW",0.249683087464352
"PATT","RNSA","OCWA",0.435227412763127
"PATT","RNSA","YEWA",0.30014442880552
"PATT","RNSA","AUWA",0.212757064676369
"PATT","RNSA","MGWA",0.640749382686794
"PATT","RNSA","YBCH",1.47662149436849e-16
"PATT","RNSA","WETA",0.199518452406903
"PATT","RNSA","GTTO",4.67043559697533e-09
"PATT","RNSA","SPTO",0.00457318870842513
"PATT","RNSA","SOSP",0.355961600220338
"PATT","RNSA","LAZB",0.0488878863835395
"PATT","RNSA","BUOR",0.268684223581296
"PATT","RNSA","PISI",0.0355212746838521
"PATT","RNSA","AMGO",0.201992908198945
"PATT","DOWO","WIFL",1.64599607897713e-06
"PATT","DOWO","DUFL",1.49940911021344e-16
"PATT","DOWO","WAVI",0.0305025952594876
"PATT","DOWO","BCCH",0.030360901120842
"PATT","DOWO","HOWR",0.0188680066369893
"PATT","DOWO","VEER",4.53465424713793e-14
"PATT","DOWO","AMRO",0.012014829424599
"PATT","DOWO","CEDW",1.60124673559654e-14
"PATT","DOWO","OCWA",8.4402114702142e-09
"PATT","DOWO","YEWA",1.27781655732669e-16
"PATT","DOWO","AUWA",2.61039147355365e-11
"PATT","DOWO","MGWA",0.00248542161876971
"PATT","DOWO","YBCH",0.203132435152279
"PATT","DOWO","WETA",0.000297511406048922
"PATT","DOWO","GTTO",0.087714366125215
"PATT","DOWO","SPTO",0.015859642410685
"PATT","DOWO","SOSP",1.56006235784431e-16
"PATT","DOWO","LAZB",0.00722065346820614
"PATT","DOWO","BUOR",2.55167673196566e-16
"PATT","DOWO","PISI",0.000339444731675652
"PATT","DOWO","AMGO",2.7847200179045e-16
"PATT","WIFL","DUFL",0.519266490610899
"PATT","WIFL","WAVI",0.00450350116660982
"PATT","WIFL","BCCH",0.133151499688488
"PATT","WIFL","HOWR",0.180490167277008
"PATT","WIFL","VEER",0.56994749989051
"PATT","WIFL","AMRO",0.0634424304412498
"PATT","WIFL","CEDW",0.67132917423963
"PATT","WIFL","OCWA",0.506220455650281
"PATT","WIFL","YEWA",0.461189762020564
"PATT","WIFL","AUWA",0.592099287594701
"PATT","WIFL","MGWA",0.632000689651373
"PATT","WIFL","YBCH",0.000100710814972414
"PATT","WIFL","WETA",0.275351979613753
"PATT","WIFL","GTTO",0.00290899461220226
"PATT","WIFL","SPTO",0.0420664668145261
"PATT","WIFL","SOSP",0.495739659338148
"PATT","WIFL","LAZB",0.0825046599311971
"PATT","WIFL","BUOR",0.187975702070764
"PATT","WIFL","PISI",0.0882674891726905
"PATT","WIFL","AMGO",0.554041356928093
"PATT","DUFL","WAVI",6.70708709088286e-10
"PATT","DUFL","BCCH",0.0438920630749952
"PATT","DUFL","HOWR",0.0454535980179512
"PATT","DUFL","VEER",0.813719036490555
"PATT","DUFL","AMRO",0.00243499279935891
"PATT","DUFL","CEDW",0.587182526067852
"PATT","DUFL","OCWA",0.319917722539107
"PATT","DUFL","YEWA",0.860843176653774
"PATT","DUFL","AUWA",0.341093410941713
"PATT","DUFL","MGWA",0.521462479666745
"PATT","DUFL","YBCH",1.64875471289091e-16
"PATT","DUFL","WETA",0.127718654398274
"PATT","DUFL","GTTO",2.39894892240543e-11
"PATT","DUFL","SPTO",0.000227424948309688
"PATT","DUFL","SOSP",0.887104690213758
"PATT","DUFL","LAZB",0.0246347912310294
"PATT","DUFL","BUOR",0.495139797903982
"PATT","DUFL","PISI",0.00101329481174952
"PATT","DUFL","AMGO",0.32730608875329
"PATT","WAVI","BCCH",0.521579972640383
"PATT","WAVI","HOWR",0.361147387157721
"PATT","WAVI","VEER",2.65889310105751e-06
"PATT","WAVI","AMRO",0.421115450634127
"PATT","WAVI","CEDW",8.7767322009686e-08
"PATT","WAVI","OCWA",0.00362347780717344
"PATT","WAVI","YEWA",5.11305878795196e-10
"PATT","WAVI","AUWA",0.000322817825540351
"PATT","WAVI","MGWA",0.0417435347752683
"PATT","WAVI","YBCH",0.0915972220734669
"PATT","WAVI","WETA",0.18323165855022
"PATT","WAVI","GTTO",0.791961179546313
"PATT","WAVI","SPTO",0.453673100107388
"PATT","WAVI","SOSP",2.71750087036964e-08
"PATT","WAVI","LAZB",0.287879552988424
"PATT","WAVI","BUOR",4.81941163532624e-14
"PATT","WAVI","PISI",0.186066617489256
"PATT","WAVI","AMGO",2.71550132162168e-08
"PATT","BCCH","HOWR",0.645731274960687
"PATT","BCCH","VEER",0.0758071964235612
"PATT","BCCH","AMRO",0.703981314952685
"PATT","BCCH","CEDW",0.0385540210633029
"PATT","BCCH","OCWA",0.167040126881308
"PATT","BCCH","YEWA",0.0552506191129398
"PATT","BCCH","AUWA",0.0557693582410266
"PATT","BCCH","MGWA",0.138326867937906
"PATT","BCCH","YBCH",0.12824558915641
"PATT","BCCH","WETA",0.348753325144225
"PATT","BCCH","GTTO",0.447839215861789
"PATT","BCCH","SPTO",0.819587406049256
"PATT","BCCH","SOSP",0.0690959287483263
"PATT","BCCH","LAZB",0.692338039049758
"PATT","BCCH","BUOR",0.0331035900131595
"PATT","BCCH","PISI",0.415150654724739
"PATT","BCCH","AMGO",0.0382035433755296
"PATT","HOWR","VEER",0.0855138451521602
"PATT","HOWR","AMRO",0.789310640463041
"PATT","HOWR","CEDW",0.0372598293478709
"PATT","HOWR","OCWA",0.30503655072627
"PATT","HOWR","YEWA",0.0603710509901894
"PATT","HOWR","AUWA",0.0538790520669484
"PATT","HOWR","MGWA",0.184051557209791
"PATT","HOWR","YBCH",0.108019864118186
"PATT","HOWR","WETA",0.610623241980288
"PATT","HOWR","GTTO",0.329291261579286
"PATT","HOWR","SPTO",0.645907416782968
"PATT","HOWR","SOSP",0.0831467274735234
"PATT","HOWR","LAZB",0.599671820137139
"PATT","HOWR","BUOR",0.0325016048029552
